_MCATE_CD_NM,SEXDSTN_CD,BIRTH_YEAR,MRRG_AT_CD,CHLDRN_AT_CD,FAMILY_TY_NM,OC_AREA_CD,ANSWRR_OC_AREA_NM,OCCP_CL_NM,MT_AVRG_HSHLD_INCOME_DGREE_NM,COM_AT,TOUR_PD,LDGS_NM,LDGS_ADDR,LDGS_ROAD_NM_ADDR,GSRM_SCALE_CN,LDGS_GRAD_VALUE,LDGMNT_TY_NM,LDGS_AVRG_PRC,LDGS_MIN_PRC,LDGS_MXMM_PRC,LDGS_AVRG_SCORE_CO,COM_TY,여행유형,나이,나이대
14729,F,1973,기혼,대학/대학원생 자녀,4,경남,거제시,기술직,600만원,Y,2021,라마다프라자제주호텔,제주,제주특별자치도 제주시 탑동로 66,200개 이상,5성,관광호텔,247181,144500,510001,9,"부모님, 배우자",효도여행,49,40대
14732,F,1969,기혼,자녀가 없음,2,인천,미추홀구,판매/서비스직,600만원,Y,2018,호텔 더본 제주,제주,제주특별자치도 서귀포시 색달로 18,200개 이하,2성,관광호텔업,298083,141177,342770,9,"형제/자매, 부모님",효도여행,50,50대
14750,F,1974,기혼,대학/대학원생 자녀,4,인천,연수구,기타,600만원,Y,2023,금호 제주 리조트,제주,제주특별자치도 서귀포시 남원읍 태위로 522-12,200개 이상,성급없음,숙박업(생활),169749,99450,310000,9,"형제/자매, 부모님",효도여행,50,50대
14757,F,1973,기혼,대학/대학원생 자녀,4,경남,창원시,사무직,600만원,Y,2023,켄싱턴리조트 지리산남원,전북,전북 남원시 소리길 66,200개 이하,성급없음,휴양콘도미니엄업,203074,99900,319000,9,"배우자, 부모님",효도여행,51,50대
14762,M,1977,기혼,중/고등학생,4,인천,부평구,전문직,600만원,Y,2022,켄싱턴리조트 지리산남원,전북,전북 남원시 소리길 66,200개 이하,성급없음,휴양콘도미니엄업,203074,99900,319000,9,"형제/자매, 자녀, 배우자, 부모님",효도여행,46,40대
14767,F,1985,기혼,자녀가 없음,2,전북,군산시,사무직,600만원,Y,2021,소노벨 변산,전북,전북 부안군 변산면 변산해변로 51,200개 이상,4성,가족호텔업,273270,135000,465000,9,부모님,효도여행,37,30대
14776,M,1974,기혼,"영/유아, 초등학생",4,서울,중랑구,사무직,600만원,Y,2023,소노벨 변산,전북,전북 부안군 변산면 변산해변로 51,200개 이상,4성,가족호텔업,273270,135000,465000,9,"자녀, 부모님, 배우자",효도여행,50,50대
14779,F,1968,기혼,대학/대학원생 자녀,4,전북,군산시,전업주부,600만원,Y,2020,소노벨 변산,전북,전북 부안군 변산면 변산해변로 51,200개 이상,4성,가족호텔업,273270,135000,465000,9,"배우자, 부모님, 형제/자매",효도여행,53,50대
14785,M,1971,기혼,중/고등학생,4,울산,남구,기술직,600만원,Y,2023,소노벨 변산,전북,전북 부안군 변산면 변산해변로 51,200개 이상,4성,가족호텔업,273270,135000,465000,9,"형제/자매, 부모님",효도여행,53,50대
14791,M,1981,기혼,"영/유아, 초등학생",3,경기,용인시,사무직,600만원,Y,2021,라한호텔 전주,전북,전북 전주시 완산구 기린대로 85,200개 이하,4성,관광호텔업,277493,148000,560000,8,"배우자, 부모님, 자녀",효도여행,41,40대
14792,M,1981,미혼,X,1,인천,서구,사무직,600만원,Y,2021,라한호텔 전주,전북,전북 전주시 완산구 기린대로 85,200개 이하,4성,관광호텔업,277493,148000,560000,8,부모님,효도여행,41,40대
14797,M,1972,기혼,중/고등학생,3,충남,공주시,기능/숙련공,600만원,Y,2020,라마다 군산,전북,전북 군산시 대학로 400,200개 이하,4성,관광호텔업,136426,105424,206400,9,"배우자, 부모님, 자녀",효도여행,49,40대
14824,M,1987,미혼,X,3,대전,유성구,사무직,600만원,Y,2022,엘도라도리조트,전남,전남 신안군 증도면 지도증도로 1766-15,100개 이하,성급없음,숙박업(생활),163934,114940,297700,9,"부모님, 형제/자매",효도여행,36,30대
14838,M,1976,기혼,중/고등학생,3,강원,원주시,경영/관리직,600만원,Y,2019,쏠비치 진도 호텔,전남,전남 진도군 의신면 송군길 30-40,100개 이하,4성,관광호텔업,332109,156655,524000,9,"배우자, 부모님, 자녀",효도여행,44,40대
14847,F,1982,미혼,X,1,경기,이천시,사무직,600만원,Y,2020,쏠비치 진도 호텔,전남,전남 진도군 의신면 송군길 30-40,100개 이하,4성,관광호텔업,332109,156655,524000,9,부모님,효도여행,39,30대
14848,F,1983,기타,"영/유아, 초등학생",5,울산,울주군,자영업,600만원,Y,2021,쏠비치 진도 호텔,전남,전남 진도군 의신면 송군길 30-40,100개 이하,4성,관광호텔업,332109,156655,524000,9,"배우자, 자녀, 부모님, 형제/자매, 친구",효도여행,39,30대
14857,F,1982,기타,"영/유아, 초등학생",4,광주,광산구,사무직,600만원,Y,2023,쏠비치 진도 호텔,전남,전남 진도군 의신면 송군길 30-40,100개 이하,4성,관광호텔업,332109,156655,524000,9,"자녀, 부모님",효도여행,42,40대
14864,M,1969,기혼,"영/유아, 초등학생",4,서울,송파구,사무직,600만원,Y,2020,쏠비치 진도 호텔,전남,전남 진도군 의신면 송군길 30-40,100개 이하,4성,관광호텔업,332109,156655,524000,9,"배우자, 자녀, 부모님",효도여행,52,50대
14867,M,1982,기혼,"영/유아, 초등학생",3,서울,동작구,사무직,600만원,Y,2021,쏠비치 진도 호텔,전남,전남 진도군 의신면 송군길 30-40,100개 이하,4성,관광호텔업,332109,156655,524000,9,"자녀, 배우자, 부모님",효도여행,40,40대
14869,M,1976,기혼,"영/유아, 초등학생",4,충남,보령시,사무직,600만원,Y,2021,쏠비치 진도 호텔,전남,전남 진도군 의신면 송군길 30-40,100개 이하,4성,관광호텔업,332109,156655,524000,9,"자녀, 부모님, 배우자",효도여행,46,40대
14871,F,2000,미혼,X,4,광주,북구,무직,600만원,Y,2023,쏠비치 진도 호텔,전남,전남 진도군 의신면 송군길 30-40,100개 이하,4성,관광호텔업,332109,156655,524000,9,부모님,효도여행,24,20대
14873,M,1995,미혼,X,4,전남,무안군,무직,600만원,Y,2023,쏠비치 진도 호텔,전남,전남 진도군 의신면 송군길 30-40,100개 이하,4성,관광호텔업,332109,156655,524000,9,"부모님, 기타",효도여행,29,20대
14897,M,1971,기혼,중/고등학생,4,제주,성산읍,사무직,600만원,Y,2019,금호리조트 화순,전남,전남 화순군 백아면 옥리길 14-21,200개 이상,성급없음,휴양콘도미니엄업,112774,94400,153400,8,"자녀, 부모님, 형제/자매",효도여행,49,40대
