_MCATE_CD_NM,SEXDSTN_CD,BIRTH_YEAR,MRRG_AT_CD,CHLDRN_AT_CD,FAMILY_TY_NM,OC_AREA_CD,ANSWRR_OC_AREA_NM,OCCP_CL_NM,MT_AVRG_HSHLD_INCOME_DGREE_NM,COM_AT,TOUR_PD,LDGS_NM,LDGS_ADDR,LDGS_ROAD_NM_ADDR,GSRM_SCALE_CN,LDGS_GRAD_VALUE,LDGMNT_TY_NM,LDGS_AVRG_PRC,LDGS_MIN_PRC,LDGS_MXMM_PRC,LDGS_AVRG_SCORE_CO,COM_TY,AGE,AGE_RANGE,여행유형
15016,M,1979,기혼,"영/유아, 초등학생",4,전북,정읍시,기술직,600만원,Y,2020,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"배우자, 자녀",42,40대,가족여행
19275,F,1963,기혼,결혼하지 않은 성인,4,경기,용인시,전문직,1000만원 초과,Y,2020,쏠비치 호텔 삼척,강원,강원 삼척시 수로부인길 453,200개 이상,4성,관광호텔업,353255,204250,538000,9,"배우자, 자녀",58,50대,가족여행
19277,M,1975,기혼,중/고등학생,3,서울,동작구,사무직,1000만원 초과,Y,2022,쏠비치 호텔 삼척,강원,강원 삼척시 수로부인길 453,200개 이상,4성,관광호텔업,353255,204250,538000,9,"배우자, 자녀",48,40대,가족여행
15017,M,1974,기혼,"영/유아, 초등학생",3,강원,속초시,자영업,600만원,Y,2020,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"배우자, 자녀",47,40대,가족여행
15018,F,1984,기혼,"영/유아, 초등학생",3,경남,양산시,전업주부,600만원,Y,2021,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"배우자, 자녀",38,30대,가족여행
15020,M,1973,기혼,"영/유아, 초등학생",3,경남,창원시,자영업,600만원,Y,2023,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"직장동료, 자녀",51,50대,가족여행
15022,M,1982,기혼,"영/유아, 초등학생",4,대전,중구,사무직,600만원,Y,2023,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"자녀, 배우자",42,40대,가족여행
19284,F,1968,기혼,결혼하지 않은 성인,4,경기,광주시,전업주부,1000만원 초과,Y,2023,쏠비치 호텔 삼척,강원,강원 삼척시 수로부인길 453,200개 이상,4성,관광호텔업,353255,204250,538000,9,"자녀, 배우자",56,50대,가족여행
19285,M,1959,기혼,결혼하지 않은 성인,5,경기,수원시,무직,1000만원 초과,Y,2021,쏠비치 호텔 삼척,강원,강원 삼척시 수로부인길 453,200개 이상,4성,관광호텔업,353255,204250,538000,9,"자녀, 배우자",63,60대,가족여행
15023,M,1980,기혼,"영/유아, 초등학생",4,전남,여수시,사무직,600만원,Y,2021,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"배우자, 자녀",42,40대,가족여행
19287,M,1960,기혼,대학/대학원생 자녀,5,서울,강남구,기술직,1000만원 초과,Y,2021,쏠비치 호텔 삼척,강원,강원 삼척시 수로부인길 453,200개 이상,4성,관광호텔업,353255,204250,538000,9,"자녀, 배우자",62,60대,가족여행
19288,M,1958,기혼,결혼하지 않은 성인,3,서울,구로구,경영/관리직,1000만원 초과,Y,2022,쏠비치 호텔 삼척,강원,강원 삼척시 수로부인길 453,200개 이상,4성,관광호텔업,353255,204250,538000,9,"자녀, 배우자",65,60대,가족여행
15030,M,1978,기혼,"영/유아, 초등학생",3,충남,천안시,전문직,600만원,Y,2021,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"배우자, 자녀",44,40대,가족여행
16246,M,1975,기혼,"영/유아, 초등학생",5,서울,성동구,사무직,700만원,Y,2020,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"배우자, 자녀",46,40대,가족여행
16247,F,1984,기혼,"영/유아, 초등학생",3,충남,천안시,사무직,700만원,Y,2023,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"배우자, 자녀",40,40대,가족여행
16248,M,1982,기혼,"영/유아, 초등학생",4,경기,용인시,사무직,700만원,Y,2022,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"자녀, 배우자",41,40대,가족여행
19298,M,1971,기혼,중/고등학생,4,서울,성북구,자유직,1000만원 초과,Y,2019,쏠비치 호텔 삼척,강원,강원 삼척시 수로부인길 453,200개 이상,4성,관광호텔업,353255,204250,538000,9,"자녀, 배우자",49,40대,가족여행
19299,M,1973,기혼,중/고등학생,4,경기,안산시,기술직,1000만원 초과,Y,2021,쏠비치 호텔 삼척,강원,강원 삼척시 수로부인길 453,200개 이상,4성,관광호텔업,353255,204250,538000,9,"자녀, 배우자",49,40대,가족여행
16251,M,1979,기혼,"영/유아, 초등학생",4,충남,논산시,자영업,700만원,Y,2019,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"배우자, 자녀",41,40대,가족여행
19304,F,1958,기혼,결혼하지 않은 성인,4,경기,용인시,전업주부,1000만원 초과,Y,2021,쏠비치 호텔 삼척,강원,강원 삼척시 수로부인길 453,200개 이상,4성,관광호텔업,353255,204250,538000,9,"배우자, 자녀",64,60대,가족여행
16252,F,1984,기혼,"영/유아, 초등학생",4,충남,보령시,자영업,700만원,Y,2020,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"자녀, 배우자",37,30대,가족여행
16253,M,1984,기혼,"영/유아, 초등학생",5,경기,안산시,자영업,700만원,Y,2022,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"배우자, 자녀",39,30대,가족여행
19308,M,1966,기혼,대학/대학원생 자녀,4,서울,강서구,경영/관리직,1000만원 초과,Y,2022,쏠비치 호텔 삼척,강원,강원 삼척시 수로부인길 453,200개 이상,4성,관광호텔업,353255,204250,538000,9,"자녀, 배우자",57,50대,가족여행
19309,M,1968,기혼,중/고등학생,4,서울,강남구,경영/관리직,1000만원 초과,Y,2021,쏠비치 호텔 삼척,강원,강원 삼척시 수로부인길 453,200개 이상,4성,관광호텔업,353255,204250,538000,9,자녀,54,50대,가족여행
19312,F,1971,기혼,중/고등학생,6,인천,강화군,기술직,1000만원 초과,Y,2021,쏠비치 호텔 삼척,강원,강원 삼척시 수로부인길 453,200개 이상,4성,관광호텔업,353255,204250,538000,9,"배우자, 자녀",51,50대,가족여행
19313,M,1972,기혼,중/고등학생,3,서울,구로구,전문직,1000만원 초과,Y,2023,쏠비치 호텔 삼척,강원,강원 삼척시 수로부인길 453,200개 이상,4성,관광호텔업,353255,204250,538000,9,"배우자, 자녀",52,50대,가족여행
19316,M,1971,기타,자녀가 없음,4,인천,남동구,사무직,1000만원 초과,Y,2020,쏠비치 호텔 삼척,강원,강원 삼척시 수로부인길 453,200개 이상,4성,관광호텔업,353255,204250,538000,9,"배우자, 자녀",50,50대,가족여행
19320,F,1982,기혼,중/고등학생,3,서울,중구,전업주부,1000만원 초과,Y,2022,쏠비치 호텔 삼척,강원,강원 삼척시 수로부인길 453,200개 이상,4성,관광호텔업,353255,204250,538000,9,"자녀, 배우자",41,40대,가족여행
17268,M,1975,기혼,"영/유아, 초등학생",5,서울,성동구,사무직,800만원,Y,2020,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"배우자, 자녀",46,40대,가족여행
17269,F,1981,기혼,"영/유아, 초등학생",3,서울,동작구,사무직,800만원,Y,2019,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"자녀, 배우자",39,30대,가족여행
19334,M,1962,기혼,결혼하지 않은 성인,3,인천,연수구,경영/관리직,1000만원 초과,Y,2021,소노 펠리체 델피노,강원,강원 고성군 토성면 미시령옛길 1153,100개 이하,4성,관광호텔,518369,360000,705000,9,"자녀, 배우자",60,60대,가족여행
19336,F,1969,기혼,중/고등학생,4,경북,구미시,자영업,1000만원 초과,Y,2020,소노 펠리체 델피노,강원,강원 고성군 토성면 미시령옛길 1153,100개 이하,4성,관광호텔,518369,360000,705000,9,"배우자, 자녀",52,50대,가족여행
17270,M,1974,기혼,"영/유아, 초등학생",3,경북,포항시,경영/관리직,800만원,Y,2022,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,"자녀, 배우자",49,40대,가족여행
17273,M,1977,기혼,"영/유아, 초등학생",3,경기,화성시,기술직,800만원,Y,2021,롯데 호텔 서울,서울,서울 중구 을지로 30,200개 이상,5성,관광호텔업,582563,294030,992200,8,자녀,45,40대,가족여행
19340,F,1957,기혼,결혼한 성인,2,부산,금정구,기타,1000만원 초과,Y,2022,소노 펠리체 델피노,강원,강원 고성군 토성면 미시령옛길 1153,100개 이하,4성,관광호텔,518369,360000,705000,9,"자녀, 배우자",66,60대,가족여행
